location,population
1W,37996
1,75778
2,49243
2E,25657
2W,23586
3,35598
4,36695
5,24437
6,22727
7,36647
8E,29242
8W,30673
8,59915
9,32843
10,29767
11,29671
12,25659
13,41586
14,31923
15,49596
16,20857
17,16336
18,27047
19,23041
20,14400
21,16468
22,21206
23,10494
24,26076
25,7394
26,40627
27,14914
Chokoria,558360
Cox's Bazar,2805491
FDMN,859808
Kutubdia,155900
Kutupalong RC,16713
Moheshkhali,416120
Municipality,195375
Nyapara RC,22585
Pekua,217807
Ramu,349259
Sadar,371034
Sadar(+Mun),566409
Teknaf,287714
Ukhia,253922
